392 469
146 147 191 249 338
3
119 257 332
2
67 450
4
30 220 267 449
2
62 121
3
256 301 449
5
91 114 173 193 234
1
46
3
83 324 332
2
181 313
2
308 353
5
53 91 218 302 414
5
31 61 311 335 380
1
313
5
54 128 178 233 426
3
27 237 354
1
100
5
53 226 348 365 398
3
100 258 399
5
5 12 330 380 466
4
164 357 411 463
3
16 169 348
3
20 26 311
2
224 265
1
12
2
273 426
4
9 47 168 401
5
38 118 225 228 334
2
73 358
1
187
4
61 206 324 342
4
31 156 260 419
1
348
3
127 331 453
3
17 350 390
4
217 255 382 449
4
30 289 368 451
5
305 322 337 362 460
2
68 275
4
108 254 302 346
4
17 313 324 461
5
20 37 227 249 392
1
130
4
8 25 110 414
4
59 88 183 318
4
55 196 269 352
4
71 253 281 328
2
240 411
4
6 27 104 202
3
11 376 450
4
321 353 375 410
3
113 314 354
1
452
3
75 103 448
3
323 440 462
5
19 24 127 430 447
1
186
2
62 382
2
362 394
3
5 223 420
5
6 141 178 189 190
1
262
3
186 238 428
3
42 200 441
2
226 292
1
463
2
10 310
1
315
1
274
1
245
3
93 169 449
5
39 42 119 159 356
1
417
3
193 359 389
5
184 226 256 410 428
4
183 345 393 432
3
12 455 458
2
98 265
2
63 264
2
226 347
4
44 54 324 454
2
111 329
3
150 261 455
5
3 42 158 253 441
1
340
1
258
4
258 327 401 454
4
59 127 158 238
3
44 59 163
2
51 419
4
90 155 195 304
4
106 198 308 451
5
49 147 157 236 260
1
252
5
27 135 176 251 380
4
143 189 228 421
4
54 99 126 250
4
15 206 310 370
2
210 256
4
36 141 251 421
3
153 246 305
3
183 323 398
4
6 195 391 397
2
111 459
5
156 230 285 294 448
2
158 284
3
5 155 270
2
20 331
3
13 267 392
2
5 125
1
91
3
58 195 297
4
8 163 400 443
5
185 237 289 410 453
4
130 176 262 353
5
20 84 134 162 176
5
13 260 266 388 467
4
159 239 256 284
4
58 288 372 436
5
107 115 214 356 440
2
231 414
5
83 87 114 215 322
5
22 108 131 401 469
1
96
3
67 221 290
5
328 329 353 419 450
1
75
5
21 345 350 371 433
1
410
2
153 368
2
312 333
5
209 211 220 239 346
4
38 87 278 439
4
4 70 310 429
2
141 178
3
166 178 414
1
166
4
19 82 336 339
1
413
4
39 308 380 425
2
353 422
2
318 412
3
65 185 335
1
40
2
214 432
4
51 91 237 392
2
412 467
2
149 189
5
98 118 243 278 358
4
75 255 413 440
4
158 258 390 462
2
193 446
2
320 324
3
132 279 412
3
8 224 290
4
21 117 118 404
2
210 469
4
79 91 150 246
5
62 142 211 220 274
5
71 117 250 302 426
3
4 84 85
1
318
2
333 400
2
330 439
1
426
4
155 308 407 458
1
200
4
25 238 328 449
5
75 88 241 249 407
1
190
3
34 35 261
3
7 166 373
2
10 247
2
169 209
5
64 156 374 378 436
3
164 190 290
4
44 49 68 132
4
15 24 114 140
4
198 266 428 454
2
31 189
3
147 376 438
3
88 106 248
1
65
1
385
4
9 77 319 466
4
55 131 321 413
5
46 202 211 360 391
3
86 336 353
2
14 75
3
48 256 260
4
12 237 250 461
1
24
1
119
4
48 116 243 296
4
57 63 100 283
3
91 174 266
5
133 175 363 370 400
3
165 195 283
2
251 285
2
195 317
2
435 456
1
346
2
196 457
1
146
2
285 424
4
41 137 170 342
2
71 101
1
322
4
19 170 211 409
5
65 256 294 366 448
5
4 34 191 227 459
4
36 236 339 358
5
88 314 320 326 382
2
127 463
5
67 191 219 364 412
5
7 201 248 332 395
5
189 262 311 319 453
5
192 265 375 429 436
2
57 330
2
87 316
5
91 177 255 403 450
4
10 214 257 366
2
264 350
2
175 423
3
253 352 451
1
258
3
46 184 334
3
64 118 289
4
74 310 414 441
3
90 310 419
1
166
4
87 88 352 394
5
60 61 156 380 408
3
146 388 462
5
3 98 304 353 424
4
71 255 280 331
3
66 234 364
4
85 187 239 447
2
329 413
2
57 105
3
38 41 135
1
133
1
393
2
283 333
1
12
3
13 166 342
1
250
4
48 255 342 467
1
56
2
114 412
1
226
4
302 408 423 454
5
15 160 164 386 466
3
48 77 190
2
231 448
1
67
5
28 31 53 146 214
1
372
4
65 111 198 336
1
100
4
348 356 413 454
2
96 141
3
272 277 391
2
94 299
2
249 364
4
12 45 98 424
5
106 197 310 311 329
5
174 201 275 324 400
2
78 347
5
48 174 265 301 414
4
308 320 396 452
5
132 148 180 395 451
1
189
3
235 324 431
5
26 92 131 227 275
3
99 342 392
3
170 184 294
1
313
4
35 49 148 177
5
41 71 337 365 425
3
393 408 466
3
67 110 161
2
251 432
4
212 391 415 419
1
397
1
125
5
20 30 37 137 269
4
83 169 259 368
5
20 90 327 408 455
3
36 253 412
4
108 156 397 457
3
91 256 290
3
188 301 404
5
20 112 177 273 443
1
359
4
71 82 388 390
3
183 431 440
2
175 275
2
283 425
4
19 154 186 410
5
53 56 180 354 467
1
45
4
4 27 141 317
1
285
1
216
1
36
4
249 372 399 457
3
149 236 464
3
243 308 446
5
30 50 180 248 371
3
33 377 454
4
28 177 191 291
4
125 173 334 446
5
141 211 237 339 461
3
15 285 332
5
28 72 266 385 393
3
21 338 387
5
188 265 276 350 372
4
255 258 328 352
4
118 308 347 407
2
128 365
3
72 394 419
2
394 455
2
216 336
1
25
2
247 371
2
186 188
4
54 205 310 318
1
405
1
385
1
86
4
68 99 108 360
2
316 346
4
61 73 130 413
5
51 85 185 246 362
1
234
1
73
1
231
1
55
2
189 313
4
19 253 269 443
4
25 87 113 305
4
56 384 410 430
3
19 263 370
3
195 319 450
4
15 73 313 447
4
197 216 344 414
3
247 281 380
1
286
3
116 329 407
5
39 89 158 340 380
4
26 103 175 331
2
253 293
3
48 119 460
3
170 227 451
1
189
5
38 50 57 143 432
4
173 244 376 378
5
4 63 188 235 258
1
24
4
53 330 372 422
5
28 73 186 245 362
4
9 82 220 301
1
70
1
110
5
59 127 220 312 461
5
28 38 86 299 324
3
256 360 419
3
84 263 423
1
72
5
168 273 358 370 388
3
3 71 330
4
85 318 370 450
2
79 290
5
24 252 321 428 458
2
140 234
5
249 254 272 331 371
2
66 392
2
59 144
5
44 139 212 214 251
4
114 202 372 396
5
8 158 256 270 439
5
35 142 237 323 395
5
118 164 175 278 300
3
93 257 278
5
22 91 128 190 438
5
50 96 180 200 242
5
57 67 169 352 373
4
12 66 74 168
1
457
3
72 344 364
3
194 205 400
3
87 255 257
3
44 461 466
2
181 332
5
47 99 340 358 359
2
166 258
3
133 419 432
2
56 189
4
28 140 220 370
5
31 62 90 141 183
1
41
3
32 65 188
3
326 374 389
2
15 40
1
278
1
51
2
42 247
1
432
1
316
4
48 165 267 327
1
411
5
6 46 177 186 410
3
221 227 447
2
432 456
3
78 251 436
2
48 105
5
243 275 323 387 463
5
194 296 359 360 369
3
83 186 415
2
74 388
5
72 202 210 254 399
3
259 267 364
4
55 69 72 164
2
17 134
5
1 10 56 111 126
2
226 430
3
30 314 440
2
6 201
1
26
2
205 353
4
161 176 285 407
5
118 121 148 214 395
1
238
3
100 161 328
1
464
3
149 252 272
5
37 42 119 290 423
4
112 237 318 430
4
163 200 215 290
4
92 228 356 369
5
39 91 244 263 334
4
93 177 196 212
1
221
5
4 102 263 275 386
2
298 299
3
166 249 444
1
175
4
51 56 296 448
2
183 329
1
450
3
41 413 467
3
103 346 463
1
354
1
257
3
314 359 371
2
20 292
5
53 132 153 345 396
2
246 392
2
235 431
5
13 91 276 395 461
2
290 339
2
386 391
3
91 316 435
2
137 139
2
62 307
4
9 336 407 412
2
32 404
3
26 211 324
2
372 430
5
112 154 214 315 424
2
245 432
2
366 377
5
69 264 329 387 469
4
165 175 416 441
5
137 190 247 258 317
3
8 25 202
2
75 384
4
183 249 400 416
5
114 170 186 404 451
4
21 241 291 294
2
87 328
3
14 47 280
3
40 220 401
4
32 37 165 297
5
8 89 189 387 408
1
214
5
8 116 330 394 446
3
102 135 231
5
102 220 324 384 408
5
10 24 143 184 412
1
192
3
235 366 387
1
230
4
210 230 314 448
4
66 131 352 426
1
157
3
74 89 385
2
5 384
4
227 265 273 342
2
133 175
2
12 463
5
17 231 323 413 426
4
242 261 302 420
2
49 456
5
51 108 191 226 317
2
115 389
4
40 68 108 119
1
77
5
82 144 194 360 419
1
422
1
237
5
33 118 128 161 450
1
363
3
46 193 299
1
270
3
87 103 117
5
92 139 265 356 458
5
60 96 165 262 451
1
101
2
265 460
5
44 311 367 433 451
1
196
1
461
3
120 220 255
5
5 49 104 267 377
3
65 164 337
1
8
5
118 197 246 315 352
4
132 280 392 395
5
24 165 227 318 395
5
93 127 163 266 305
5
73 175 284 299 462
2
60 330
1
337
2
304 444
1
255
2
132 336
3
28 250 391
5
40 51 72 210 301
5
55 67 340 456 464
4
21 70 178 327
3
3 56 433
1
301
5
40 231 317 366 424
3
164 219 401
2
104 451
5
85 239 267 314 352
5
90 283 284 347 439
5
209 240 248 281 352
3
176 257 386
2
141 425
4
150 155 364 390
2
29 368
4
10 143 259 294
4
56 108 228 360
3
78 92 426
2
1 251
5
16 40 80 196 210
2
83 370
4
146 264 332 357
2
178 455
3
17 41 154
1
333
1
423
2
103 438
3
141 221 330
2
277 463
4
6 92 178 374
1
42
5
216 240 243 266 331
3
219 263 397
2
61 235
3
24 257 433
1
214
5
98 154 190 234 416
4
26 45 289 441
2
110 211
4
33 277 352 385
2
108 316
5
319 360 370 377 419
5
120 193 283 298 372
3
108 329 340
1
75
3
86 413 432
5
44 53 199 262 306
1
80
4
140 198 249 255
4
304 326 364 424
4
66 171 305 376
2
336 423
5
215 217 261 421 454
5
95 407 422 451 466
5
165 307 362 388 404
4
50 60 73 259
1
158
5
14 87 211 264 375
5
41 215 259 261 318
3
236 324 333
1
324
3
173 319 367
2
5 137
3
119 331 336
4
32 150 416 419
2
67 356
1
40
2
112 316
2
30 357
5
88 121 131 283 403
2
120 141
5
4 9 94 253 258
5
58 125 132 139 429
4
54 292 363 433
2
68 400
3
30 107 313
2
291 324
3
6 214 354
5
13 98 253 275 425
2
56 166
5
80 141 175 189 340
3
70 95 365
3
40 130 143
1
168
4
202 215 354 446
3
148 289 386
2
63 161
3
1 27 128
1
403
4
60 202 255 273
5
86 128 163 305 338
4
95 183 228 326
3
44 153 403
5
181 210 252 280 408
1
433
3
273 371 466
1
292
3
163 180 423
4
9 16 176 219
3
41 126 269
5
33 186 211 291 332
4
67 133 153 446
5
4 84 339 374 432
1
357
1
281
4
9 191 195 270
2
338 414
2
300 305
2
187 439
1
104
3
105 265 387
2
57 353
3
132 249 348
1
436
1
45
5
25 334 335 425 428
2
33 61
3
25 192 369
1
448
1
319
1
110
5
88 106 267 327 440
4
49 194 197 359
4
95 249 348 453
4
31 119 144 366
1
16
2
10 60
2
319 373
5
55 218 337 359 439
1
312
3
162 196 299
5
134 156 220 281 375
2
205 415
5
62 194 240 283 400
4
125 226 277 415
3
107 329 454
2
333 365
1
291
3
104 226 319
1
53
1
46
1
200
2
372 436
5
9 44 60 88 223
2
87 112
2
330 385
3
7 176 360
5
17 80 233 354 393
1
147
3
62 143 190
1
34
3
118 214 342
1
3
4
25 55 89 94
5
48 135 318 415 464
3
13 296 338
4
133 193 251 419
1
62
4
150 162 164 339
5
54 142 164 278 423
4
131 176 257 404
2
130 426
5
16 141 181 373 444
1
211
2
111 384
3
131 374 395
5
17 30 116 376 450
4
118 330 352 366
5
8 113 283 370 407
1
166
3
74 118 382
5
90 245 299 425 448
2
221 416
3
157 187 270
2
55 454
2
104 143
3
165 377 401
1
439
3
94 178 238
2
272 293
1
36
3
224 263 311
2
44 396
3
58 70 311
3
134 331 460
1
354
1
313
1
60
3
174 216 372
1
3
3
105 217 372
4
29 60 195 376
2
299 326
1
40
1
218
1
34
5
29 115 187 266 408
5
80 225 247 285 396
3
144 156 225
2
89 227
1
132
1
316
3
254 266 292
1
328
4
175 180 198 447
2
408 447
2
176 346
5
1 314 328 391 454
4
94 108 180 199
3
161 239 270
1
174
4
110 183 272 352
4
144 195 316 443
3
130 290 322
1
430
2
92 186
5
19 62 188 216 371
2
108 455
1
212
4
5 130 156 369
4
194 276 323 333
2
306 439
4
35 38 358 376
1
226
4
106 255 324 447
1
428
2
234 327
3
111 137 412
3
82 202 342
2
32 212
3
197 317 469
3
59 95 143
2
231 256
5
12 21 134 308 444
1
149
3
139 220 425
4
157 185 378 415
5
137 171 221 228 347
1
315
2
286 352
1
450
4
110 306 371 391
5
86 259 276 431 436
5
8 83 90 215 242
4
12 190 277 425
5
94 99 150 184 362
2
90 438
1
331
5
45 95 164 234 466
4
70 259 299 390
3
160 273 378
4
28 144 408 463
4
216 218 319 324
5
20 298 305 412 458
2
87 175
3
197 248 362
3
53 57 441
2
20 342
4
198 249 414 448
5
68 139 166 302 390
4
199 219 429 461
2
186 400
3
84 219 461
5
150 171 174 177 400
4
119 177 363 421
2
96 270
5
10 57 225 267 270
5
27 183 257 338 354
3
169 220 340
2
36 459
1
334
5
70 105 372 408 457
1
362
4
29 169 196 374
3
140 180 326
2
305 428
2
238 253
5
3 15 290 410 449
2
162 196
4
27 178 250 451
5
91 181 191 393 399
3
5 310 389
3
16 408 412
2
105 438
3
22 40 166
5
89 194 263 290 297
3
324 385 393
5
35 209 280 342 384
4
40 156 401 436
3
68 280 391
2
95 423
1
11
4
160 248 369 376
4
59 298 301 408
3
217 290 370
2
334 386
3
38 95 443
2
333 461
1
367
4
3 88 259 288
4
16 120 277 449
3
7 60 231
3
95 225 404
4
83 165 314 322
2
20 363
2
39 56
4
72 161 372 432
3
65 198 252
1
289
4
27 49 101 227
2
360 424
4
256 267 395 422
1
413
1
342
5
86 176 254 277 443
5
128 233 294 314 360
5
116 133 147 301 333
3
6 90 119
1
466
1
283
2
49 127
4
106 130 234 433
3
55 90 116
1
235
1
393
3
333 342 459
2
30 227
5
7 193 288 424 431
3
249 273 440
2
299 338
5
27 36 86 125 419
2
286 294
1
403
4
57 321 417 469
2
38 378
4
161 165 238 454
1
241
4
53 153 169 319
5
96 110 190 252 273
3
73 409 428
2
113 163
4
100 235 380 424
2
247 405
3
80 153 175
2
192 306
5
47 256 272 311 365
1
390
2
227 396
4
176 201 408 422
3
244 250 326
1
359
2
273 440
5
205 206 293 372 454
5
59 140 329 333 446
1
126
5
37 55 368 460 468
4
5 62 297 328
2
276 400
1
272
3
160 174 312
5
16 54 91 394 435
1
5
2
21 89
2
296 368
5
69 116 443 446 454
2
300 370
5
25 89 155 156 411
5
104 216 346 415 441
2
92 307
1
174
2
214 461
4
29 113 117 146
3
56 158 251
4
63 190 290 410
3
78 209 215
5
307 372 374 426 458
1
311
5
20 59 215 419 428
2
154 215
1
61
4
8 116 432 444
5
98 154 263 357 396
3
89 130 146
3
21 84 233
5
34 311 329 419 460
5
25 125 345 425 438
3
100 217 296
5
198 218 252 285 444
4
190 218 281 443
2
411 436
4
191 211 329 357
4
30 104 248 296
3
59 98 231
1
36
4
34 68 135 174
4
37 63 149 159
5
110 230 275 344 429
3
255 436 457
1
71
5
100 175 216 308 429
2
41 79
5
28 85 117 205 335
2
131 262
3
336 417 450
2
197 426
4
8 46 53 73
4
93 147 266 299
5
53 130 144 387 417
5
53 61 92 148 247
4
5 45 72 323
4
75 221 248 414
3
25 403 452
4
74 223 279 332
2
220 410
2
8 196
5
134 166 277 306 324
2
139 375
2
334 386
5
84 93 205 347 387
5
82 108 134 278 339
5
5 66 189 209 440
3
64 328 329
3
65 176 426
2
40 99
4
21 210 214 456
2
245 408
1
331
3
49 114 416
2
113 312
4
54 212 233 346
5
15 38 218 292 360
5
11 58 326 365 388
2
119 390
2
37 80
2
327 450
2
369 407
4
48 173 217 468
3
73 93 397
1
66
3
161 260 369
1
267
3
139 212 243
4
83 116 352 370
3
132 251 283
4
47 55 333 453
5
5 142 223 344 440
1
342
4
47 387 391 441
5
14 79 254 281 454
5
95 115 178 377 458
1
57
3
37 197 450
4
94 108 317 377
5
67 142 196 300 350
2
57 153
1
429
5
80 175 260 415 417
1
211
1
305
1
42
5
148 187 265 327 422
5
27 87 227 238 375
3
141 192 450
4
77 91 170 337
3
38 279 336
4
93 103 137 401
3
302 305 450
2
99 161
1
412
3
20 80 195
1
308
1
215
5
1 224 289 311 320
1
279
4
1 71 72 262
1
201
5
44 144 322 335 363
1
189
1
246
2
300 422
4
98 292 318 430
2
256 372
4
63 155 218 240
1
31
1
359
3
41 255 398
5
142 267 384 408 419
5
47 73 240 272 296
2
63 178
3
307 324 344
2
73 444
1
75
2
231 359
3
88 243 407
4
130 181 380 451
4
32 74 128 169
4
66 256 317 386
1
51
2
166 194
1
467
1
278
5
10 118 267 356 469
2
42 92
1
115
4
37 99 441 457
4
67 257 304 441
3
16 142 290
1
161
5
39 116 119 420 453
3
16 137 356
5
30 126 264 452 454
1
327
3
108 194 221
3
54 137 400
4
17 236 350 368
3
225 396 417
5
14 141 253 263 299
5
34 37 71 75 283
5
72 73 148 185 276
5
33 192 212 292 340
2
79 183
4
58 63 184 347
3
50 307 386
3
39 102 142
4
35 66 245 468
1
155
2
324 449
1
261
4
9 26 392 410
2
194 196
2
104 321
4
36 169 189 200
1
240
2
41 65
2
63 456
5
32 56 220 357 419
5
8 30 249 426 464
3
85 93 400
1
450
5
6 196 230 388 392
1
9
4
79 200 251 339
4
54 144 164 373
3
269 308 310
3
148 188 264
1
360
4
60 149 214 344
4
24 217 296 411
3
178 191 447
1
332
2
69 106
4
88 315 350 389
5
45 101 132 161 435
5
120 144 221 223 297
1
294
5
96 155 244 320 388
5
30 154 249 267 366
1
255
2
24 373
1
369
1
24
3
98 388 443
2
449 456
3
3 15 32
2
166 180
4
200 273 302 417
4
89 165 206 219
3
29 298 335
1
117
3
125 388 426
1
164
2
191 246
1
315
1
206
4
83 210 345 399
4
32 89 219 395
1
96
4
45 253 274 281
4
82 141 228 248
3
225 262 337
4
251 288 304 314
3
131 165 221
3
85 293 459
1
35
1
131
4
244 327 376 391
3
160 224 413
4
133 285 386 438
2
38 132
4
137 183 193 359
3
35 333 336
1
242
3
9 30 401
5
50 126 202 236 398
1
156
5
1 19 161 162 225
5
32 155 259 263 266
4
72 77 165 461
1
334
1
242
5
148 315 389 425 428
1
241
1
197
5
58 188 233 365 403
4
102 219 328 458
2
63 456
5
58 289 413 416 457
4
71 143 320 362
2
195 288
5
32 90 277 284 375
2
223 284
1
53
5
128 132 250 385 455
4
162 201 218 366
4
128 312 315 389
3
143 188 447
4
190 199 278 322
2
32 284
1
331
2
201 350
3
16 266 410
5
125 165 187 313 318
2
241 380
1
157
3
127 149 227
1
468
5
112 135 193 201 206
5
44 134 251 352 399
5
38 258 387 392 405
1
223
1
164
3
88 284 342
3
257 300 398
4
100 209 305 398
3
58 340 460
1
178
3
340 398 446
2
120 216
5
108 286 347 366 390
1
214
3
75 89 234
1
264
5
89 161 301 363 458
5
106 263 275 345 449
5
10 125 177 276 335
4
6 127 162 301
5
68 197 230 259 279
5
298 396 409 425 447
4
36 94 190 242
4
6 159 168 291
4
87 302 428 440
5
9 34 212 304 310
4
65 85 280 363
2
121 162
3
216 251 380
1
11
5
66 190 400 419 454
1
376
3
64 178 431
2
190 387
3
7 185 262
4
70 210 316 386
2
57 283
3
178 348 461
2
342 370
2
221 281
2
202 289
1
246
3
94 226 262
4
9 235 296 338
2
102 322
4
249 346 409 459
2
24 387
5
5 33 128 184 433
5
103 108 423 432 458
1
288
5
14 187 269 336 348
4
32 238 318 460
3
68 153 158
2
6 159
5
19 21 66 108 417
1
185
4
15 37 158 332
1
19
4
164 211 243 425
5
240 273 377 389 419
4
58 73 94 459
5
50 77 181 241 405
1
161
2
110 423
3
281 299 356
5
93 104 347 401 450
4
28 121 375 439
1
187
5
85 106 331 389 468
5
25 68 95 103 191
3
386 396 448
5
33 62 112 356 405
2
195 372
4
12 225 244 397
2
315 372
3
20 221 310
2
101 216
4
46 72 210 292
1
74
4
11 37 73 216
5
111 218 262 300 460
2
388 444
3
173 214 235
3
157 356 466
1
159
3
72 116 175
5
57 131 249 277 312
2
242 318
3
126 157 320
1
74
3
170 233 392
2
77 99
4
162 308 321 404
4
86 395 425 461
4
16 210 227 302
1
447
5
22 65 262 290 310
4
217 260 283 399
1
458
3
306 438 439
5
24 185 347 438 451
3
178 285 436
5
108 130 134 353 467
4
47 157 187 430
2
223 399
2
46 212
3
111 405 447
1
216
1
257
4
4 157 199 399
3
38 80 320
2
3 413
3
45 63 393
1
335
3
289 369 396
3
39 102 326
4
60 102 259 441
3
121 183 358
3
58 209 277
1
54
3
21 74 153
3
26 86 241
4
16 56 242 431
1
467
4
190 315 429 469
5
22 161 306 429 462
4
82 134 244 348
3
178 275 378
1
307
3
41 71 422
2
392 446
3
70 352 463
3
79 410 454
5
265 270 321 440 461
4
75 87 403 423
2
181 431
5
211 241 247 412 432
4
95 161 210 216
1
296
2
73 289
5
237 292 305 337 358
2
278 374
1
319
1
74
3
169 209 255
3
86 215 405
1
54
3
92 327 387
5
36 246 261 415 419
4
33 156 314 436
3
126 192 433
3
91 225 326
5
197 225 274 318 377
3
88 114 205
4
80 110 326 373
2
111 409
3
10 15 165
4
132 192 292 306
1
246
2
329 425
1
174
3
134 373 392
1
31
1
42
2
68 121
1
374
5
82 197 310 360 412
4
88 132 334 468
1
234
3
57 296 451
5
22 49 115 141 263
2
80 223
3
382 419 467
5
118 198 267 273 292
2
44 273
3
206 249 310
4
353 388 429 454
5
82 323 365 376 424
5
146 164 197 291 422
5
87 116 201 218 387
3
86 192 293
3
190 340 409
2
48 149
5
79 112 120 231 385
5
26 27 185 221 430
4
31 55 202 298
3
90 133 378
1
408
2
201 244
1
353
2
218 296
2
223 393
4
256 266 375 404
4
107 224 294 411
4
181 246 251 453
1
82
3
398 409 441
5
206 242 250 297 326
2
298 302
5
156 183 272 275 353
2
283 409
2
302 339
2
214 440
3
3 111 458
2
127 262
5
16 21 29 363 466
4
12 205 291 358
3
166 173 371
4
161 223 225 469
2
161 183
2
111 304
1
57
3
178 248 313
1
160
5
79 87 127 189 425
1
28
4
21 50 333 371
5
115 237 244 333 342
2
56 291
3
61 149 187
4
86 354 378 467
4
78 163 257 372
2
91 360
5
34 249 274 298 436
2
324 390
3
63 289 327
1
469
3
50 177 344
1
95
1
329
4
40 66 69 159
4
189 200 366 384
5
21 168 286 330 432
3
144 298 368
1
261
1
244
5
17 223 302 310 380
2
155 314
3
35 57 77
4
41 147 235 301
5
49 51 75 175 311
3
69 244 412
4
57 205 382 419
4
103 161 273 356
5
146 196 253 265 296
2
305 401
5
106 221 226 329 463
3
168 214 338
3
5 436 443
4
96 155 236 274
4
11 47 65 128
2
267 297
4
28 250 264 397
3
28 61 334
1
197
3
67 408 424
3
17 197 421
5
117 205 290 335 453
1
91
4
150 183 224 399
2
12 59
1
210
3
48 233 262
2
32 334
2
53 450
4
98 357 438 462
5
70 112 195 414 425
3
48 88 390
2
221 262
3
56 88 359
3
104 254 302
5
68 103 105 148 323
5
10 68 245 279 371
4
242 254 264 448
3
48 225 276
2
307 398
4
250 297 354 450
2
373 457
5
50 165 184 273 278
5
214 275 348 393 453
4
48 334 344 422
1
83
5
71 160 170 235 240
3
269 366 397
4
197 264 270 464
1
321
2
7 128
2
75 183
4
191 335 363 460
5
88 142 217 241 313
4
191 198 209 423
2
82 252
2
217 322
4
15 54 168 350
2
223 455
1
331
1
342
4
259 279 400 411
3
146 367 395
4
29 58 92 139
4
22 162 315 447
4
25 135 409 461
5
100 106 212 242 360
4
244 297 320 327
5
7 99 276 318 358
2
131 256
1
328
5
5 201 274 288 413
1
274
5
153 159 270 322 328
3
305 350 376
2
241 424
3
239 265 278
2
48 237
5
73 301 348 420 458
3
161 339 403
3
8 28 283
4
154 306 353 417
4
58 199 275 393
4
79 353 366 401
2
398 413
5
54 137 144 227 450
4
37 108 260 363
3
241 297 461
5
26 128 257 318 319
1
464
2
26 72
3
250 286 387
5
126 189 205 388 422
2
114 372
4
24 183 186 238
1
37
3
300 304 319
4
133 302 307 364
5
26 27 87 260 455
5
25 127 150 153 410
5
224 231 256 284 305
1
296
4
125 336 338 423
5
28 189 228 359 452
1
462
3
55 132 210
3
25 93 412
3
21 235 267
5
8 91 142 306 317
4
47 86 291 423
2
78 283
5
25 67 130 220 365
1
183
4
12 197 308 416
3
58 364 436
5
99 104 127 311 350
3
131 198 324
2
393 467
4
41 143 201 432
4
30 130 390 440
3
45 301 429
3
245 312 447
4
38 49 83 439
2
134 370
2
32 467
4
25 71 374 416
4
131 134 154 364
2
85 345
1
156
1
75
3
161 192 464
1
299
2
249 412
4
55 56 119 422
4
51 378 411 416
4
1 25 107 323
4
67 274 307 422
5
24 28 302 306 404
3
91 177 261
5
46 60 139 158 429
1
245
1
139
3
66 200 296
5
41 223 246 293 326
3
88 288 368
5
46 168 369 429 436
3
118 170 307
2
56 132
3
95 360 384
2
92 435
4
169 223 311 460
3
150 260 261
3
33 137 245
3
193 357 416
2
324 384
4
163 200 216 306
3
56 95 247
5
94 143 337 386 414
5
104 107 235 367 377
1
103
1
16
4
56 148 221 356
2
13 463
5
1 226 391 393 425
5
11 254 255 373 431
5
12 209 256 372 455
3
92 154 216
1
464
4
5 74 196 443
1
206
3
50 390 403
1
8
3
86 274 461
5
71 113 127 401 409
3
217 318 441
1
134
2
269 359
2
3 354
4
226 283 364 374
1
196
5
149 246 317 348 384
2
78 89
4
36 277 291 357
3
130 214 399
1
357
2
270 297
2
143 392
5
16 211 261 354 362
5
70 168 185 186 468
4
56 64 297 433
1
56
4
106 380 399 416
2
261 353
3
21 40 244
4
206 315 440 461
2
184 409
5
82 120 150 258 352
1
55
3
102 104 466
4
125 266 323 372
3
12 333 421
2
219 428
4
26 159 181 276
3
34 260 460
4
22 44 55 131
3
4 8 398
2
308 378
2
429 468
4
127 157 180 428
2
189 399
3
140 201 327
2
248 255
2
47 286
3
82 126 307
2
416 433
2
72 323
5
77 214 259 400 448
2
60 153
5
40 47 154 267 422
1
254
2
6 212
3
83 397 428
4
36 253 255 267
1
334
2
88 219
2
194 392
4
13 118 128 330
4
42 98 185 425
4
63 67 330 469
2
99 131
5
20 106 142 157 217
2
315 461
5
199 219 263 333 365
4
54 265 323 390
5
305 327 408 416 454
5
185 234 313 334 364
2
51 202
2
77 177
4
66 194 392 419
4
114 187 238 257
1
438
4
21 153 404 415
2
186 416
5
83 96 133 158 238
4
38 130 168 212
3
346 417 425
2
107 458
1
99
2
32 312
2
302 364
5
3 130 196 223 340
4
39 62 110 319
3
36 176 283
1
21
3
288 304 425
1
374
5
94 173 219 241 259
1
428
4
61 329 385 399
2
339 430
4
56 175 296 333
5
6 13 132 244 460
2
245 386
2
112 357
2
48 448
4
6 198 231 273
4
91 174 212 259
5
173 176 283 357 426
2
256 263
2
114 446
5
14 62 96 132 365
2
48 276
4
174 266 327 356
3
61 75 180
1
436
5
270 327 417 426 433
4
107 242 258 414
3
211 224 333
1
24
2
46 254
3
8 117 251
1
3
1
362
5
69 98 264 322 333
4
44 108 231 397
3
296 353 410
2
273 296
2
57 128
5
82 197 274 399 435
1
98
5
1 13 239 346 388
4
130 144 305 365
2
240 302
2
170 377
4
47 91 93 302
1
257
1
224
4
173 259 265 363
1
291
1
85
4
54 66 183 256
4
7 68 94 468
1
132
5
17 147 328 332 426
4
8 45 102 293
1
290
